[INFO] Capture started.
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.1:53 | DST: 192.168.18.23:53165 | ACK (DNS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 1250 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.174:443 | DST: 192.168.18.23:59630 | 66 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.174:443 | DST: 192.168.18.23:59630 | 21 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:59630 | DST: 142.251.220.174:443 | 35 bytes (HTTPS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.1:53 | DST: 192.168.18.23:53165 | PSH-ACK (Data push) (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.23:53165 | DST: 192.168.18.1:53 | FIN-ACK (Connection closing) (DNS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:50837 | DST: 142.251.220.150:443 | 1250 bytes (HTTPS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.1:53 | DST: 192.168.18.23:53165 | FIN-ACK (Connection closing) (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.23:53165 | DST: 192.168.18.1:53 | ACK (DNS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.174:443 | DST: 192.168.18.23:59630 | 45 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.174:443 | DST: 192.168.18.23:59630 | 21 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:59630 | DST: 142.251.220.174:443 | 35 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 1250 bytes (HTTPS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.1:53 | DST: 192.168.18.23:64398 | PSH-ACK (Data push) (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.23:64398 | DST: 192.168.18.1:53 | FIN-ACK (Connection closing) (DNS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:59269 | DST: 142.251.220.206:443 | 1250 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:59269 | DST: 142.251.220.206:443 | 1250 bytes (HTTPS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.1:53 | DST: 192.168.18.23:64398 | FIN-ACK (Connection closing) (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.23:64398 | DST: 192.168.18.1:53 | ACK (DNS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:59269 | DST: 142.251.220.206:443 | 82 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:59269 | DST: 142.251.220.206:443 | 977 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 1250 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 281 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 936 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 25 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:50837 | DST: 142.251.220.150:443 | 78 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:50837 | DST: 142.251.220.150:443 | 31 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 1246 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 1250 bytes (HTTPS)
